hip,hd,ra_deg,dec_deg,vmag,sptype
32349,48915,101.28854105,-16.71314306,-1.440000057220459,A0m...
91262,172167,279.23410832,38.78299311,0.029999999329447746,A0Vvar
113368,216956,344.41177323,-29.62183701,1.1699999570846558,A3V
102098,197345,310.3579727,45.28033423,1.25,A2Ia
36850,60179,113.65001898,31.88863645,1.5800000429153442,A2Vm
45238,80007,138.30100329,-69.71747245,1.6699999570846558,A2IV
62956,112185,193.5068041,55.95984301,1.7599999904632568,A0p
28360,40183,89.88237261,44.94743492,1.899999976158142,A2V
31681,47105,99.42792641,16.39941482,1.9299999475479126,A0IV
42913,74956,131.17582214,-54.70856797,1.9299999475479126,A1V
57632,102647,177.26615977,14.57233687,2.140000104904175,A3Vvar
61932,110304,190.38002079,-48.95988553,2.200000047683716,A1IV
76267,139006,233.67162293,26.71491041,2.2200000286102295,A0V
65378,116656,200.98091604,54.92541525,2.2300000190734863,A2V
53910,95418,165.4599615,56.38234478,2.3399999141693115,A1V
72105,129988,221.24687869,27.07417383,2.3499999046325684,A0
58001,103287,178.45725536,53.69473296,2.4100000858306885,A0V SB
84012,155125,257.59442659,-15.72514757,2.430000066757202,A2.5Va
93506,176687,285.65301428,-29.88011429,2.5999999046325684,A3IV
28380,40312,89.93015897,37.21276409,2.6500000953674316,A0p Si
65109,115892,200.15027321,-36.71208109,2.75,A2V
72622,130841,222.71990536,-16.04161047,2.75,A3IV
23875,33111,76.96264146,-5.08626282,2.7799999713897705,A3IIIvar
74946,135382,229.72787007,-68.67946723,2.869999885559082,A1V
63125,112413,194.00767051,38.31824617,2.890000104904175,A0spe...
93747,177724,286.3525518,13.86370983,2.990000009536743,A0Vn
75097,137422,230.1822884,71.83397308,3.0,A3II-III
32246,48329,100.98304088,25.13115531,3.059999942779541,A3mA6-A9
84379,156164,258.75801735,24.83958739,3.119999885559082,A3IVv SB
113136,216627,343.6626635,-15.82075994,3.2699999809265137,A3V
21281,29305,68.49882684,-55.04500559,3.299999952316284,A0V:
59774,106591,183.85603795,57.03259792,3.319999933242798,A3Vvar
54879,97633,168.56017036,15.4297631,3.3299999237060547,A2V
66249,118098,203.673978,-0.59593821,3.380000114440918,A3V
50372,89021,154.27469564,42.91446855,3.450000047683716,A2IV
12706,16970,40.82551897,3.23617162,3.4700000286102295,A3V
49583,87737,151.83313948,16.76266572,3.4800000190734863,A0Ib
112623,215789,342.13832136,-51.31670354,3.490000009536743,A3V
109427,210418,332.54924902,6.197789,3.5199999809265137,A2V
77516,141513,237.40527375,-3.43014112,3.5399999618530273,A0V
27288,38678,86.73895728,-14.82194717,3.549999952316284,A2Vann
44471,77327,135.90649494,47.15665934,3.569999933242798,A1Vn
35350,56537,109.52336162,16.54047526,3.5799999237060547,A3V...
33018,50019,103.1972503,33.96136985,3.5999999046325684,A3III
77233,141003,236.54672877,15.42192602,3.6500000953674316,A3V
68756,123299,211.09760837,64.37580873,3.6700000762939453,A0III SB
77622,141795,237.70371344,4.4775798,3.7100000381469727,A2m
72220,130109,221.56246594,1.8929383,3.7300000190734863,A0V
87108,161868,266.97322515,2.70745875,3.75,A0V
111169,213558,337.82239898,50.28244976,3.759999990463257,A1V
