bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
BD+63 2107,MWC     2,144,4022-1776-1,406891036,5.59,B9 III,1.6102,+64.1960,Cas
BD+59 2829,MWC     3,,4014-3145-1,359247720,9.84,"B0 IV:,nep",1.7012,+60.6007,Cas
BD+62    1,MWC   667,,4018-2063-1,359335305,10.35,"B2 IV-V:,ep",1.8876,+63.0802,Cas
BD+62   11,AS      1,,4018-803-1,83224269,9.42,B5 V,2.6949,+63.1725,Cas
BD+57   28,MWC     4,698,3664-192-1,452884731,7.08,B5 III,2.9041,+58.2117,Cas
BD+61   39,MWC     5,,4019-3106-1,420443928,8.53,B0.5 IV,5.0724,+62.4635,Cas
BD+63   48,MWC   669,,4023-1321-1,418988159,9.12,"B1 III:,nne",6.6668,+64.4316,Cas
BD+55   81,,,3662-379-1,319918191,10.07,"B1.5 V :e:,nn",7.0489,+56.3970,Cas
BD+66   35,MWC     6,2789,4027-3-1,420470654,8.22,"B3 V,ne",8.0110,+67.1608,Cas
BD+61  122,MWC   672,,4020-1552-1,283939144,10.73,"B2 V:,ep",8.7510,+62.4484,Cas
+63-00395,MWC   674,19267,4057-842-1,81751236,10.75,"B0 III:,ep",10.6096,+64.0506,Cas
+64-00412,,24024,4071-1195-1,393076884,11.38,"B1 V :p,e:",11.0534,+64.4618,Cas
+63-00417,AS      4,21237,4070-1379-1,390927810,10.6,"B1 IV-V:,ep",11.1761,+63.9076,Cas
BD+47  183,MWC     8,4180,3253-1988-1,240757326,4.54,B5 III,11.1807,+48.2839,Cas
+63-00464,MWC   677,,4071-744-1,458986862,10.71,"B2 V:,ep",12.3539,+63.8681,Cas
CP-56  154,,,8469-98-1,281741629,10.3,Be*,12.2555,-56.0965,Phe
+60-00468,MWC   678,,,,9.89,"B2: V:,nnep",12.4501,+60.9861,Cas
BD+60  114,MWC   679,,4016-1006-1,285233175,9.87,"B2 III:,ep",12.5636,+60.9032,Cas
BD+59  132,,4931,4017-2183-1,285541092,8.68,B8 V,13.0639,+60.0896,Cas
BD+59  144,MWC     9,5394,4017-2319-1,51962733,2.47,B0.5 IV,14.1763,+60.7164,Cas
BD+63  124,,,4025-1000-1,256308031,11.1,B1 V,15.3285,+63.9353,Cas
BD+65  129,MWC    10,6343,4029-290-1,368799545,7.3,B7 V,16.4703,+65.9708,Cas
BD+46  275,MWC   420,6811,,196678834,4.25,B7 III,17.3754,+47.2417,And
BD+60  180,MWC    11,,4030-1171-1,53798808,9.32,"B0:,ep",18.0458,+61.3258,Cas
BD+56  240,MWC    12,7636,3677-1107-1,332155214,6.61,B2 III.*n*e+,19.3589,+57.6318,Cas
BD+61  240,,7720,4034-920-1,54532955,8.86,B5 II,19.6124,+61.8928,Cas
BD+57  240,,236689,3681-1341-1,332490249,9.46,"B1.5 V:,ep",19.6376,+58.3747,Cas
BD+57  243,MWC   423,,3681-1664-1,332489770,9.49,"B0: IV:,e",19.7248,+58.2018,Cas
+61-01193,AS     16,,,,10.76,"B ,ep",20.6365,+61.5498,Cas
BD+62  245,AS     18,,4034-1319-1,54885518,10.15,"B1: V:,ep",21.0805,+62.8268,Cas
BD+59  250,MWC   425,,4031-2600-1,422533085,10.41,"B2 V,e",21.8262,+60.1155,Cas
BD+58  247,MWC   690,,3682-742-1,370342981,10.11,B1 -2e sh,22.3507,+59.0995,Cas
+59-01302,AS     25,,,,10.65,B1-2Vnne,23.3686,+59.5007,Cas
BD+62  271,MWC    14,,4035-202-1,389906125,8.9,B8 V,23.7041,+63.6265,Cas
BD+60  274,AS     30,,,389981672,10.66,B3 III,23.9070,+61.2736,Cas
BD+46  393,MWC   426,9709,3282-1307-1,327183862,7.0,B8 V,24.0128,+47.1142,And
BD+73   81,,9612,4322-1936-1,289266085,6.4,B9 V,24.3418,+74.3007,Cas
BD+62  285,MWC    15,,4035-241-1,444714025,9.3,B8 V,24.7733,+63.4625,Cas
CP-57  334,,10144,8478-1395-1,230981971,0.46,"B3 V,p",24.4262,-57.2360,Eri
BD+62  287,AS     36,,4035-1067-1,444746129,9.05,B8 V,25.0901,+63.1141,Cas
BD+60  307,MWC   694,,4031-491-1,444832022,10.46,"B2 V,e",25.4431,+61.3255,Cas
BD+62  292,AS     37,,4035-337-1,444824639,10.4,"B1: ,ep",25.5202,+63.6218,Cas
BD+49  444,MWC    16,10516,3291-2118-1,410501448,4.07,B1 V:,25.9144,+50.6887,Per
BD+62  300,AS     41,,4036-2316-1,399207942,9.95,"B1 V:,nep",26.2770,+62.8308,Cas
+61-01449,,129406,4173-1572-1,159628664,10.83,"B2 V,e",27.0960,+61.2640,Cas
BD+59  334,,,4032-1388-1,373795464,10.36,B0 V,27.7888,+60.4364,Cas
BD+60  368,,,4032-2105-1,373896412,10.62,B1: III:,28.1094,+60.8323,Cas
BD+54  398,MWC    19,232552,3688-1388-1,370759559,8.05,"B0 ,ep",28.1085,+55.3312,Per
BD+59  343,MWC   701,,4032-1002-1,10420291,10.59,"B2 V,nne",28.4512,+60.5257,Cas
BD+62  320,,11415,4036-2834-1,10510382,3.4,B3 V p,28.5975,+63.6701,Cas
BD+57  425,MWC    20,11554,3692-621-1,400540844,9.55,"B1 V,ep",28.8018,+57.8974,Per
BD+58  331,MWC    21,11606,3696-837-1,445471151,7.02,B1 V n,28.9280,+59.2732,Cas
BD+55  441,MWC   431,,3692-2074-1,445463187,9.68,"B1 V:,ep",29.0294,+56.5541,Per
BD+63  261,MWC    22,,4040-418-1,10975329,9.62,"B ,nnep",29.3718,+64.0408,Cas
BD+60  393,AS     49,,4032-243-1,10965765,10.66,"B2 ,ep",29.5046,+61.5749,Cas
+60-01551,MWC   433,,3866-1049-1,311068915,10.15,"B1 V,ep",29.6630,+60.6293,Cas
BD+58  356,MWC    23,12302,3697-1551-1,374556527,8.05,"B1: V:,ep",30.6512,+59.6880,Cas
BD+54  448,,232588,3689-2051-1,374614951,8.63,B1.5 III,30.9395,+55.1023,Per
BD+61  371,AS     52,,4037-2448-1,12005213,11.07,"B3: II:,ep",31.0443,+62.3971,Cas
BD+57  469,MWC    24,236935,3697-3109-1,374608109,9.33,"B1: V:,ne",31.0289,+58.4835,Per
BD+55  489,MWC   435,236940,3693-2652-1,374695776,9.9,B1 V e,31.2013,+56.2619,Per
+63-02024,,,4288-186-1,271529021,10.24,"B0.5: ,ep",31.5348,+63.3701,Cas
BD+56  429,MWC    25,12856,3693-2536-1,374921565,8.54,"B0 ,ep",31.9718,+57.1055,Per
BD+64  295,MWC    26,12882,4041-408-1,285910268,7.51,B2.5 III ne,32.1887,+65.0373,Cas
BD+55  521,MWC   702,,3689-2120-1,374981646,,"B6 ,e",32.2224,+56.1932,Per
BD+56  432,MWC    27,13051,3693-1817-1,374976857,8.7,B1 IV:,32.3566,+56.9915,Per
BD+63  300,MWC   703,,4041-1849-1,12112858,9.69,"B ,ep",32.6282,+64.0923,Cas
BD+57  515,MWC    28,,3693-1472-1,347485397,9.69,"B2 ,ep",33.1764,+57.6919,Per
BD+54  483,MWC   439,13429,3689-2040-1,347588499,9.1,B3 V,33.2515,+55.1106,Per
BD+63  310,MWC   706,13590,4041-1668-1,12743469,7.9,B2 III,33.8037,+64.0242,Cas
BD+53  486,MWC    29,13661,3690-1740-1,347843860,7.79,"B2 IV-V,e",33.7208,+54.5315,Per
BD+55  552,MWC   707,13669,3690-1391-1,347840942,7.9,B3 IV-V,33.7605,+55.7928,Per
BD+57  527,,13758,3694-473-1,347945498,9.05,B1 V,34.0181,+57.7447,Per
BD+56  469,,13831,3694-2836-1,348023621,8.27,"B0 III,p",34.1627,+56.7376,Per
BD+49  614,MWC   442,13867,3302-1660-1,250826271,7.57,B5 V e:,34.1496,+49.8195,And
BD+56  473,MWC   441,,3694-3772-1,348137752,9.08,"B0.5 III,n",34.2400,+57.1299,Per
BD+56  478,MWC   443,13890,3694-2874-1,348136739,8.51,B1 III,34.2833,+56.7695,Per
BD+56  479,,13900,3694-3598-1,348137080,9.18,B1 IV,34.3147,+56.8975,Per
BD+56  484,MWC   444,,3694-3473-1,348137087,9.62,"B1 III,e",34.4354,+56.8996,Per
BD+56  493,,,3694-3723-1,264614168,9.62,"B1 V :p,e:",34.5754,+56.8509,Per
