cgcs,hd,tyc,tic,vmag,bmag,sptype,ra_deg,dec_deg,constellation
5976,224855,4014-54-1,418416600,6.9,9.4,N1p(Sh),0.3158,+60.3553,Cas
5980,224959,4666-130-1,300887147,9.9,,R0(Sh),0.5337,-2.8197,Psc
6003,26,594-778-1,405292009,8.2,,"C0,0CH(Yam)",0.8408,+8.7950,Psc
5987,225217,2793-243-1,439944446,8.5,12.3,"C6,4(Yam)",1.1517,+43.5514,And
19,,4018-961-1,83525311,9.7,12.0,"N(MSB);C6,2(Yam)",3.3454,+63.4578,Cas
32,1306,3255-823-1,202135401,7.5,11.6,"N(San);C4,4(Yam)",4.3838,+50.2875,Cas
36,1546,2794-14-1,440119789,7.8,,"N7(Sh);C4,5(Yam)",4.9750,+44.7094,And
43,,3665-350-1,403344177,9.6,12.7,"N(San);C4,3(Yam)",5.6117,+59.1928,Cas
44,,,403391644,9.3,14.5,N(BC),5.6571,+57.4439,Cas
53,1994,3653-117-1,354686124,9.5,10.6,"R5(Sh);C4,5(K-M)",6.1454,+54.2939,Cas
65,2342,2270-318-1,44486489,8.6,9.9,"N(San);C5,4(Yam)",6.8821,+35.5942,And
80,,1193-186-1,242800982,9.6,,"R(Van);C3,3(Yam)",8.5658,+22.3933,And
83,,4299-1685-1,351362504,9.7,13.0,N(Ste),8.9196,+70.5206,Cas
135,5223,1739-1500-1,13939217,8.7,,"R3(San),C2p(K-M)",13.5562,+24.0672,And
136,5235,3680-1824-1,312763933,8.2,,"C9,1e(De)",13.7246,+58.5636,Cas
180,,,240915264,9.8,12.9,Ne(San),17.7754,+53.6989,Cas
196,7526,8035-651-1,382415835,9.9,,"R0(HD);C1,2(War)",18.6350,-48.2519,Phe
198,7561,1750-2134-1,16916903,6.7,8.8,"N0(Sh);C7,3(K-M)",19.0208,+25.7694,Psc
234,8879,7002-1357-1,140497146,6.2,9.1,"N(San);C6,5(War)",21.7421,-32.5431,Scl
238,,3679-216-1,470818886,9.1,,N(San),23.3862,+57.7517,Cas
268,10636,3671-357-1,71853708,9.9,11.3,R6(San),26.2917,+53.9525,Per
295,,3696-2198-1,371074584,9.7,,Ne(San),29.1587,+59.2594,Cas
327,13826,634-589-1,58872758,8.3,9.8,"R8(Sh),C5p,5(KM)",33.7500,+12.2397,Ari
350,,3307-1912-1,250924629,9.6,12.0,N(San),36.7196,+52.1172,Per
357,,4697-85-1,1128593,9.4,,R0(Van),37.0967,-7.3650,Cet
361,,6433-295-1,120917196,7.5,,Ne(San),37.3137,-26.0989,For
378,16115,5285-3-1,4697730,8.3,,"R3(Sh);C2,3(K-M)",38.7771,-9.4428,Cet
451,19557,3710-74-1,384650299,7.3,8.7,"R5(Sh);C4,5(K-M)",47.8554,+57.9031,Cas
471,20234,8495-151-1,207205231,5.2,,"N(San);C7,2(War)",48.1379,-57.3217,Hor
461,19881,3315-1237-1,192780568,9.1,12.5,Np(San),48.4108,+47.8261,Per
500,21280,2873-1287-1,456163027,8.1,,R4e(San),51.9267,+44.1767,Per
541,232820,3325-104-1,428328595,8.4,11.8,"N(San);C5,5(Yam)",55.3737,+51.5028,Per
540,22611,4066-1219-1,392430762,6.9,11.0,"N5(Sh);C5,4(Yam)",55.4508,+62.6483,Cam
556,,2875-2430-1,431900228,9.7,11.8,"N(San);C6,3(Yam)",56.2633,+44.7789,Per
576,24281,7576-1023-1,101100612,8.6,10.2,"R3(HD);C4,2(War)",57.5246,-43.5342,Eri
608,25408,4064-1358-1,459106887,7.9,9.3,R8(Sh),61.4746,+61.7944,Cam
639,26667,9153-1243-1,25118602,9.0,,"R3(HD);C1,3(War)",61.9479,-69.7878,Hyi
623,,3340-761-1,267506280,9.5,12.2,"N(MSB);C3,3(Yam)",62.8850,+51.3333,Per
643,,3340-2259-1,104660352,9.5,14.9,Ne(San),64.1383,+50.6264,Per
701,,2883-2547-1,238828834,8.9,13.8,"N(San);C7,4(Yam)",67.4296,+39.8675,Per
725,29154,8875-1648-1,231074988,8.9,,"C1,1(War)",67.6942,-65.9881,Ret
788,30593,7045-1471-1,257658027,7.5,9.0,"N(San);C6,4(War)",71.8287,-36.2094,Cae
781,30443,2395-449-1,96072931,9.0,10.9,R4(San),72.3167,+35.0019,Aur
769,30243,4342-2633-1,281601266,7.0,9.2,"N5(Sh);C5,4(Yam)",72.8058,+68.1689,Cam
794,30755,1843-772-1,60129383,8.1,10.2,"N3(Sh);C7,4(Yam)",72.8804,+28.5269,Tau
797,280188,2894-701-1,187386246,8.8,11.5,"N(San),SC5/9(KB)",73.1454,+38.5056,Aur
808,,1832-1766-1,68529795,9.4,,"N(San);C5,5(Yam)",73.3775,+22.7733,Tau
828,31798,685-938-1,450022383,9.1,,"N(D,Ste)",74.7525,+8.1306,Ori
833,31996,5329-366-1,316971749,5.9,,N6(Sh),74.9012,-14.8064,Lep
831,287399,693-1302-1,389119030,9.5,,N(D),74.9700,+12.1175,Ori
836,32088,3356-863-1,259686669,8.5,11.5,N(San),75.8462,+50.6328,Aur
853,32736,98-619-1,455026721,7.0,10.0,"N5(Sh);C5,4(Yam)",76.3487,+1.1778,Ori
860,33016,2895-203-1,122696834,8.5,12.3,N(San),77.2729,+39.0025,Aur
875,33404,4759-1520-1,248440395,8.6,10.4,"N0(Sh);C6,3(Yam)",77.4513,-5.5153,Eri
866,,,122880373,9.6,10.1,,77.5687,+39.3892,Aur
893,,707-730-1,411842894,9.3,,"N(San);C5,5(Yam)",78.9896,+11.9775,Ori
904,34467,2402-756-1,2240658,9.1,11.8,"N(HD), C6,3(Yam)",79.7925,+35.7925,Aur
906,,,368902951,9.7,,N:(Ste),80.2142,+42.6203,Aur
911,34842A,2394-373-1,2688613,9.8,10.6,"Ne;C8,1Je(Yam)",80.4529,+32.5111,Aur
984,36598,9166-401-1,373927033,8.5,,,81.6825,-70.0706,Men
941,35556,2411-222-1,128018331,8.2,15.6,N(San),81.7808,+34.1494,Aur
950,,2921-880-1,87971915,9.9,12.8,LR or N(Har),82.3337,+43.4092,Aur
988,36602,126-161-1,200545562,8.2,9.7,"N(San);C6,4(Yam)",83.3075,+7.1536,Ori
990,244898,1852-191-1,74393524,9.5,11.8,"R(Har);C4,4:(De)",83.6058,+24.8533,Tau
1004,37212,6493-961-1,31474418,7.9,10.4,"N(San);C7,3(War)",83.9487,-25.7219,Lep
998,36972,4344-928-1,328668612,8.1,,Np(Sh),85.2604,+68.7986,Cam
1035,,5917-770-1,46745008,9.9,,R0(Van),85.7379,-16.7700,Lep
1052,,8087-1669-1,235067270,7.0,11.8,N(Pick11),85.8075,-46.4539,Pic
1038,38218,1866-2572-1,76101125,8.7,11.1,N2 + A(Sh),86.3071,+24.4203,Tau
1043,247224,1299-1450-1,247594082,9.9,11.8,N(San),86.3608,+15.5122,Tau
1042,38307,1311-3045-1,29451199,6.9,10.1,N2(Sh),86.4142,+20.6950,Tau
1061,38572,2405-1036-1,239809060,8.3,11.4,"N0(Sh);C7,2(Yam)",87.0342,+30.6311,Aur
1057,38521,2923-85-1,274153615,9.9,11.3,"N(San);C4,4(Yam)",87.1842,+44.9111,Aur
6106,247925,1307-1573-1,358309255,9.1,,"G0--1Iep(C1,0 Hd)",87.2679,+19.0725,Tau
1070,,2417-289-1,239875321,9.0,,"C6,2(De)",87.5029,+35.7567,Aur
1118,,,78966351,9.8,,,89.5471,+28.4683,Tau
1128,,2929-1597-1,174760798,9.7,10.5,Ne(San),90.2800,+39.6714,Aur
1136,,,79614171,9.2,13.4,"N(D); C5,3(De)",90.4317,+29.4550,Aur
1149,,,79899228,9.7,,,90.8817,+25.9997,Gem
1179,42272,,81816148,7.4,9.4,"N3(Sh);C6,4(Yam)",92.7208,+26.0147,Gem
1222,,731-2930-3,291379891,9.5,,"N(San);C5,4(Yam)",94.4254,+8.5197,Ori
1226,291455,4784-800-1,250543385,9.5,,"N(San);C6,4(Yam)",94.4317,-0.2519,Ori
1246,,144-457-1,263293856,9.0,12.7,N(San),95.4917,+7.3494,Mon
1256,,4797-96-1,443173841,9.5,12.4,"N(San);C4,4(Yam)",95.8267,-7.4514,Mon
1263,,6514-102-1,49707549,8.6,10.5,"N(San);C4,4(Yam)",95.9129,-27.0658,CMa
1251,44653,1882-1530-1,84132367,8.8,12.4,Ne(San),96.0050,+25.0311,Gem
1244,44388,3380-1119-1,189959328,8.5,,Ne(San),96.0096,+47.7067,Aur
1264,44984,744-949-1,438211553,6.5,9.0,"N0(Sh);C6,3(Yam)",96.3675,+14.7219,Ori
1269,45087,1336-1310-1,430174728,8.2,14.8,N(San),96.5592,+19.0739,Gem
1290,,741-270-1,306601180,9.4,11.8,N(San),97.7242,+12.4803,Gem
1292,,1328-1624-1,306817367,9.9,12.5,"N(San);C4,4(Yam)",97.9154,+16.1144,Gem
1309,,1329-842-1,307250231,9.2,10.9,N(San),98.5996,+16.0750,Gem
1300,46321,2936-837-1,190224472,8.4,11.8,"N(San); C5,3(De)",98.6858,+42.5036,Aur
1316,46687,2928-1995-1,309515778,6.2,8.2,"N3(Sh);C5,3(K-M)",99.1367,+38.4456,Aur
1320,,,87204167,9.8,12.3,,99.2433,+27.9542,Aur
1332,,,443542093,9.9,14.4,N(Ste),99.2646,-12.0958,CMa
1380,48733,9181-1237-1,167417444,8.0,10.7,R0(HD),99.5537,-70.0944,Vol
1337,47396,1880-1830-1,194934563,9.2,12.5,"N(San);C3,1(Yam)",99.8242,+22.6050,Gem
1356,,,48651704,9.6,13.3,N:(Sndlk),100.2833,-20.1525,CMa
1357,,,48747362,9.6,14.8,,100.3129,-22.2783,CMa
1355,47883,2435-186-1,240093772,8.1,,"N(San);C5,4(Yam)",100.5358,+31.4550,Gem
1373,,5378-1858-1,119628609,9.5,13.2,"N(San);C3,4(Yam)",100.8021,-8.7583,Mon
1392,,5387-1068-1,369516462,9.2,13.0,"N(San);C4,3(Yam)",101.5646,-12.8814,CMa
1401,49247,,234227395,9.0,12.7,N(San),101.9000,+0.6822,Mon
1416,,5962-2349-1,299654048,9.3,,"C6,3(De)",102.1825,-21.3625,CMa
1446,,7636-1616-1,170312318,9.0,12.2,R(Sto),102.7046,-41.8967,Pup
1444,,4812-28-1,123577498,9.8,,"N(San);C4,5(Yam)",103.0875,-7.1486,Mon
1460,,7088-2474-1,101213404,9.0,12.7,R(Sto),103.2575,-31.7811,CMa
1453,50436,4809-1974-1,282505201,8.1,13.4,"N(San);C6,3(Yam)",103.2971,-4.5761,Mon
1478,51208,7636-1316-1,170403852,6.0,9.4,"N(San);C7,2(War)",103.6112,-42.3656,Pup
1474,,161-14-1,235452477,9.2,,"N(San);C5,2(Yam)",104.0950,+7.0778,Mon
1466,50949,2946-1673-1,197153446,9.7,9.6,R6p(San),104.3225,+41.1178,Aur
1489,51620,161-2696-1,235542452,7.3,10.3,"N(San);C4,4(Yam)",104.5896,+6.1672,Mon
1507,52432,4818-2031-1,268584316,7.3,,R6(San),105.2583,-3.2525,Mon
1546,,,130618315,9.0,,,106.0554,-47.8458,Pup
1599,,9186-461-1,391904434,8.8,,,106.4012,-73.0144,Vol
1549,,5381-403-1,177329671,7.7,12.0,"N(San);C5,5(Yam)",106.7354,-7.5575,Mon
1565,54361,5389-164-1,177590238,6.4,8.7,"N(San);C6,3(Yam)",107.0142,-11.9233,CMa
1561,54300,753-93-1,262440494,7.4,,SC5/10e(KB),107.1775,+10.0239,CMi
1595,55284,774-1053-1,26642038,9.0,10.8,Nep(San),108.2042,+14.6011,Gem
1629,,,22765995,9.0,13.2,R(Sto),108.6883,-39.5344,Pup
1616,,172-2612-1,284448162,9.5,12.6,"N(San); C5,5(De)",108.9108,+5.0447,CMi
1650,,,23033777,9.6,,,109.4446,-36.3464,Pup
1657,,7638-1516-1,59731731,9.0,,,109.6454,-42.9336,Pup
1659,,5974-3076-1,5127543,9.6,12.6,N(Sndlk),110.0292,-20.3336,CMa
1653,57160,1913-1170-1,126137157,9.3,11.5,"C5,4J(Yam)",110.2458,+24.9994,Gem
1622,56167,4364-97-1,147795605,7.9,9.0,K0-R0(HD),110.4337,+69.6708,Cam
1685,57888,5403-2788-1,55678057,9.1,,,110.6875,-12.9075,CMa
1686,57884,4825-703-1,10323026,9.3,,R8(Van),110.7792,-4.2136,Mon
1695,58195,6537-508-1,412572477,7.0,11.0,N(San),110.9108,-22.9697,CMa
1703,58364,1359-1079-1,60773717,9.8,,R3(Sh),111.5271,+21.8911,Gem
1715,,,139330213,8.0,,N:(Sndlk),111.5621,-19.7572,CMa
6228,56167,4364-97-1,147795605,8.1,,K-R0(LE83),111.7733,+69.5703,Cam
1737,59643,1914-857-1,94748223,7.4,,"R9(Sh);C6,2(Yam)",112.9771,+24.5036,Gem
