name,hd,tyc,tic,vartype,maxmag,minmag,names,ra_deg,dec_deg,constellation
WW Cet,,,37697003,UGZ:,9.3,15.7,HV 8002/PHL 718,2.8532,-11.4787,Cet
HP And,,,,UG:,10.5,14.5,SVS 71,4.7887,+41.4617,And
Psc,,,,UGWZ,10.5,17.5,ASAS J002511+1217.2,6.2961,+12.2867,Psc
LS And,,,,NA:,11.7,20.5,NSV 191,8.0425,+41.9696,And
And,,,,N::,9.5,15.0,NSV 15112,8.0962,+25.8058,And
VZ Tuc,,,,NA,11.4,18.0,HV 6334,8.5042,-73.2712,Tuc
RX And,,2807-1623-1,422880652,UGZ,10.9,12.6,1E 0101+4101,16.1481,+41.2994,And
V723 Cas,,,252137205,NB,7.1,18.0,,16.2724,+54.0112,Cas
HT Cas,,,52861041,UGSU,10.8,18.4,S 3343,17.5547,+60.0766,Cas
And3,,,,N:,10.0,13.0,NSV 447,18.6833,+35.6192,And
WX Cet,,,,UGWZ,9.5,18.5,BV 416,19.2674,-17.9396,Cet
Cas3,,,,N:,10.0,18.0,ISV 0115+63,19.6067,+63.7022,Cas
AH Psc,,,,N:,9.5,14.0,BD +8 215,20.3858,+9.6831,Psc
TY Psc,,,80532925,UGSU,11.7,16.3,S 10900,21.4141,+32.3859,Psc
KT Per,,,308786442,UGZ,10.6,16.1,GR 91,24.2866,+50.9557,Per
AR And,,,67955065,UG,11.0,17.6,Ross 346,26.2637,+37.9424,And
V Per,12244,,,N,9.2,18.5,BD +56 406a,30.4747,+56.7343,Per
TT Ari,,1207-1606-1,97328148,VY/DQ:,9.5,14.5,BD +14 341,31.7212,+15.2949,Ari
WX Hyi,,,369705840,UGSU,11.4,14.8,HV 8016,32.4618,-63.3111,Hyi
UV Per,,,375082024,UGSU,11.7,17.9,87.1911,32.5347,+57.1892,Per
PQ And,,,,NR/UG,10.1,19.0,TAV 0226+39,37.3731,+40.0445,And
Per,,,,N:,8.9,14.0,NSV 837,37.4044,+52.4278,Per
Per,,,,UG/SN,11.7,20.0,NSV 895,40.5379,+43.3522,Per
SU Ari,,,,N:,9.5,14.5,BD +16 354,42.1250,+17.3631,Ari
V400 Per,,,,NA,7.8,19.5,,46.9093,+47.1278,Per
Per,,,,N::,9.5,,BD +34 620;NSV 15667,49.7782,+35.4933,Per
W Ari,,,,N::,9.5,20.0,BD +28 518,50.1879,+28.9539,Ari
GK Per,21629,,431762266,NA/DQ,0.2,13.9,BD +43 740a,52.8000,+43.9043,Per
SZ Per,,,,N::,9.5,16.5,BD +33 715,56.7762,+34.3217,Per
FO Per,,,267052599,UG,11.8,16.2,22.1939,62.1458,+51.2467,Per
VW Hyi,,9156-1776-1,25133286,UGSU,8.5,13.8,RE J0409-7125,62.2975,-71.2949,Hyi
IM Eri,,5896-80-1,,NL,11.6,13.0,EC 04224-2014,66.1713,-20.1199,Eri
Cam,,,,N:,8.5,,NSV 16032,67.8142,+58.7522,Cam
TU Men,,,358154354,UGSU,11.6,18.5,S 6732,70.4188,-76.6129,Men
XX Tau,,,,NA,5.9,18.5,100.1927,79.8519,+16.7169,Tau
GR Ori,,,,N:,11.5,22.8,2.1916,80.3972,+1.1701,Ori
ZZ Lep,35914,5340-684-1,94990172,NL:,9.8,10.2,HD 35914,81.8675,-12.6973,Lep
QZ Aur,,,3034524,NA,6.0,17.5,,82.1419,+33.3058,Aur
V1159 Ori,,,50620873,UGSU,11.2,15.1,NSV 2011,82.2481,-3.5647,Ori
T Aur,36294,,3547397,NB,4.2,15.2,BD +30 923a,82.9963,+30.4459,Aur
Cam,,,,UGSU,11.6,16.0,1RXS J053234+624755,83.1411,+62.7978,Cam
CN Ori,,,176722720,UGZ,11.9,16.3,39.1906,88.0325,-5.4168,Ori
V529 Ori,,,238457862,N::,6.0,20.5,,89.5841,+20.2625,Ori
SS Aur,,,307279356,UG,10.5,14.5,31.1907,93.3435,+47.7404,Aur
Aur2,,,,DQ::,11.2,14.5,NSV 2872,93.5409,+45.5024,Aur
KR Aur,,,82935948,VY,11.3,16.9,KUV 06126+2836,93.9331,+28.5857,Aur
CZ Ori,,,437904996,UG,11.2,17.0,144.1928,94.1800,+15.4032,Ori
KT Mon,,,,NA/WZ,10.3,21.0,,96.3269,+5.4421,Mon
RR Pic,,8899-1342-1,293271581,NB,1.0,12.1,He 3-15,98.9003,-62.6401,Pic
CW Mon,,,281412181,UG,11.9,16.3,61.1936,99.2274,+0.0381,Mon
SY Gem,,,240082127,N::,9.2,13.0,BD +31 1380,100.1542,+31.1906,Gem
PU CMa,,,172467837,UGSU:,11.0,16.2,1RXS J064047-142305,100.1987,-24.3872,CMa
BT Mon,,,280302032,NA,8.5,16.1,67.1939,100.9469,-2.0208,Mon
CMa,,,,CV/N:,11.4,19.0,RX J0643-2052,100.9954,-20.8758,CMa
DM Gem,48328,,,NA,4.8,16.7,HD 48328,101.0506,+29.9450,Gem
HL CMa,,5949-2599-1,322899410,UG/UGZ,11.7,14.5,1E 0643-1648,101.3217,-16.8596,CMa
IR Gem,,,90939259,UGSU,11.2,17.0,S 5423,101.8945,+28.1062,Gem
DN Gem,50480,,68580394,NA,3.5,16.0,HD 50480,103.7265,+32.1411,Gem
Gem,,,,N::,7.0,14.0,NSV 3313,104.6875,+17.0364,Gem
V838 Mon,,,33366214,NC,8.3,,,106.0202,-3.8475,Mon
CMi,,,,NL?,10.6,11.4,NSV 3432,107.5208,+2.9333,CMi
GI Mon,58756,,5657040,NA/DQ,5.6,16.6,HD 58756,111.6962,-6.6749,Mon
V445 Pup,,,110608220,NC:,8.6,14.0,,114.4870,-25.9497,Pup
V574 Pup,,,,N,7.0,,Nova Pup 2004,115.4732,-27.1106,Pup
HS Pup,,,151000367,NA:,8.0,18.8,BV 431,118.3537,-31.6473,Pup
U Gem,64511,,293254698,UGSS,9.1,15.2,BD +22 1807,118.7718,+22.0014,Gem
HT Cam,,,335654642,UG/DQ,11.9,18.2,RX J0757.0+6306,119.2557,+63.1005,Cam
Pup,,,,N::,3.0,20.0,NSV 3846,119.7542,-43.8183,Pup
HZ Pup,,,153352161,NA,7.7,17.0,S 8438,120.8451,-28.4745,Pup
Z Cha,,,272551828,UGSU,11.9,17.2,S 4893,121.8657,-76.5336,Cha
VZ Gem,,,,N::,8.7,21.0,BD +31 1736,121.9458,+30.8483,Gem
YZ Cnc,,,97286251,UGSU,10.5,15.5,BV 131,122.7360,+28.1426,Cnc
V351 Pup,,,,N/AM,6.4,19.6,,122.9100,-35.1251,Pup
CP Pup,,,145620527,NA,0.5,15.2,He 3-130,122.9419,-35.3514,Pup
SU UMa,,,73247975,UGSU,11.2,15.0,PG 0808+627,123.1178,+62.6062,UMa
DY Pup,,,,NB:,7.0,19.6,HV 3600,123.4520,-26.5657,Pup
IX Vel,,8157-627-1,286156790,UX,9.1,10.0,CPD -48 1577,123.8291,-49.2222,Vel
Z Cam,,4380-1032-1,312866273,UGZ,10.5,14.8,183.1904,126.3049,+73.1109,Cam
SW UMa,,,157260715,UGSU/DQ,9.0,17.0,44.1909,129.1781,+53.4773,UMa
EG Cnc,,,,UGWZ,11.4,17.7,,130.7666,+27.8638,Cnc
BZ UMa,,,316276691,UGSU,10.2,15.9,PG 0849+580,133.4340,+57.8113,UMa
CU Vel,,,191021183,UGSU,10.7,17.0,HV 8171,134.6377,-41.7977,Vel
CQ Vel,,,,NA:,9.0,21.0,,134.7103,-53.3364,Vel
VZ Pyx,,,37430543,UGSU,11.0,17.0,Pyx1; 1H 0857-242,134.8327,-24.4820,Pyx
SY Cnc,,,437056841,UGZ,11.1,14.5,BD +18 2101,135.2639,+17.8989,Cnc
T Pyx,,,17897279,NRB,6.5,15.3,HV 3348,136.1730,-32.3799,Pyx
Leo,,,,N::,4.0,,NSV 4550,144.3292,+15.2200,Leo
CH UMa,,,103632402,UG,10.7,15.3,PG 1003+678,151.7529,+67.5465,UMa
RW Sex,,5490-556-1,36736203,UX,10.4,10.8,BD -7 3007,154.9859,-8.6989,Sex
U Leo,,,70680826,N::,10.5,15.0,BD +14 2239,156.0137,+14.0031,Leo
V382 Vel,,,,NA,2.7,16.6,,161.2017,-52.4253,Vel
CN Vel,95821,,,NB,10.2,17.8,HD 95821,165.6604,-54.3861,Vel
V365 Car,,,,NB,10.1,18.5,He 3-558,165.8159,-58.4573,Car
QU Car,310376,9212-2097-1,400481784,NL,11.1,11.5,HDE 310376,166.4271,-68.6328,Car
RS Car,96830,,,N,7.0,18.0,HD 96830/HV 47,167.0241,-61.9356,Car
V436 Cen,,,151912932,UGSU,11.3,15.5,1E 1111-3724,168.5005,-37.6800,Cen
V442 Cen,,,57261312,UGSS,11.9,16.5,HV 8364,171.2164,-35.9102,Cen
RZ Leo,,,380576494,UGWZ,11.5,19.2,30.1919,174.3427,+1.8163,Leo
T Leo,,,396998901,UGSU,10.0,15.9,BD +4 2506a,174.6118,+3.3686,Vir
DO Dra,,,142864870,DQ,10.6,16.7,YY Dra?,175.9104,+71.6891,Dra
MT Cen,,,322239323,N:,8.4,22.0,,176.0021,-60.5594,Cen
GQ Mus,,,908535248,NA/AM,7.2,18.3,,178.0103,-67.2056,Mus
BC UMa,,,11894425,UGSU,10.9,18.3,GR 102,178.0660,+49.2450,UMa
LZ Mus,,,306023513,NA,9.5,18.0,,179.0373,-65.5724,Mus
DI Cru,104994,8978-2316-1,379639650,NLV,10.6,10.9,HD 104994,181.3280,-62.0528,Cru
CP Cru,,,,NA:,9.3,19.5,,182.6305,-61.7527,Cru
MU Cen,,,,UGSS,11.8,14.9,vG 41,183.2245,-44.4711,Cen
Cru,,,,N::,9.0,,N Cru 2003,185.8175,-60.3761,Cru
AP Cru,,,451182728,N:/DQ,10.7,21.7,615.1936,187.8351,-64.4402,Cru
EX Hya,,,9560142,UG/DQ,10.0,14.1,1E 1249-2858,193.1009,-29.2489,Hya
V888 Cen,,,438962414,NA,7.6,16.4,,195.6325,-60.1933,Cen
V812 Cen,,,,N,11.0,20.4,,198.4762,-57.6789,Cen
V1047 Cen,,,,N,8.8,,Nova Centauri 2005,200.2072,-62.6307,Cen
HV Vir,,,,UGWZ,11.5,19.0,NSV 6201,200.2632,+1.8914,Vir
RR Cha,,,,NA/DQ,7.1,19.3,S 5346,201.5992,-82.3286,Cha
BV Cen,,8666-998-1,68598724,UG,10.5,13.3,HV 4647,202.8312,-54.9760,Cen
V868 Cen,,,,N,10.2,19.9,,207.5442,-63.1478,Cen
V1039 Cen,,,,NA,9.1,20.8,,208.9218,-64.2659,Cen
AB Boo,,,,N::,4.5,,BD +21 2606?,211.6958,+20.8069,Boo
T Boo,,,,N:,9.7,18.5,BD +19 2768a,213.5250,+19.0650,Boo
DD Cir,,,449041534,NA/DQ,7.5,20.2,,215.8477,-69.1459,Cir
HY Lup,,,,N,8.0,18.9,,217.9592,-51.1756,Lup
V842 Cen,,,411603422,N,4.6,15.8,,218.9690,-57.6265,Cen
X Cir,,,,NB,6.5,23.0,,220.6833,-65.2075,Cir
UZ Boo,,,1101145382,UGWZ,11.5,20.4,HV 10426,221.0050,+22.0152,Boo
BY Cir,,,,N,7.2,17.9,,221.2227,-63.8988,Cir
AR Cir,,,,N:,10.3,19.5,HV 2954,222.0397,-60.0076,Cir
AI Cir,,,,N:,10.9,23.0,HV 5121,222.3804,-68.8600,Cir
KV Dra,,,335682765,UGSU,11.8,17.1,RX J1450.5+6403,222.6596,+64.0579,Dra
DE Cir,,,455637054,N,7.7,,,229.4687,-61.9546,Cir
GW Lib,,,225798235,UGWZ,9.0,18.5,,229.9810,-25.0070,Lib
IL Nor,137677,,144875699,NB,7.0,18.0,HD 137677/HV 25,232.3463,-50.5833,Nor
Lib,,,,UGSU,11.5,15.4,ASAS 153616-0839.1,234.0667,-8.6521,Lib
PQ Ser,139512,1500-869-1,345589782,NL:,8.1,,HIP 76538,234.4742,+21.4407,Ser
IM Nor,,,,NRB,7.8,22.0,HV 3532,234.8603,-52.3217,Nor
CT Ser,,,119860183,N,7.9,16.6,,236.4128,+14.3756,Ser
T CrB,143454,2037-1144-1,462607643,NRA,2.0,11.3,BD +26 2765,239.8757,+25.9202,CrB
Oph,,,,N:,11.5,21.0,NSV 7542,243.3784,-5.3107,Oph
V341 Nor,,,,N:,9.4,17.0,,243.4350,-53.3189,Nor
V893 Sco,,,68693903,UG,10.6,14.5,SVS 1772,243.8124,-28.6256,Sco
T Sco,,,,N:,7.0,22.2,,244.2618,-22.9754,Sco
X Ser,,,362486010,NB:,8.9,18.3,HV 3137,244.8238,-2.4917,Ser
V382 Nor,,,,N,8.9,,Nova Normae 2005,244.9364,-51.5814,Nor
U Sco,,,413482626,NRB,8.8,19.5,BD -17 4554,245.6284,-17.8789,Sco
OY Ara,,,,NA,6.0,17.5,HD 149990,250.2095,-52.4309,Ara
AH Her,,2049-1115-1,236005060,UGZ,11.3,14.7,SVS 32,251.0417,+25.2506,Her
RW UMi,,,,NB/UG,6.0,18.5,SVS 1359,251.9783,+77.0367,UMi
V840 Oph,,,,NA:,6.5,19.3,HV 3522,253.6830,-29.6241,Oph
V841 Oph,,,434649444,NB,4.2,13.5,BD -12 4633,254.8765,-12.8909,Oph
V992 Sco,,,126173199,NA,8.3,17.2,,256.8227,-43.2560,Sco
V2214 Oph,,,,NB/AM,8.5,20.5,,258.0066,-29.6259,Oph
V1186 Sco,,,46764644,NB,10.9,,ASAS 171251-3056.6,258.2137,-30.9438,Sco
V2573 Oph,,,,N,10.6,,Nova Oph 2003,259.8087,-27.3764,Oph
V2264 Oph,,,,NA,9.9,21.0,,260.0868,-26.7740,Oph
V2109 Oph,,,,N,10.8,18.0,,261.0664,-24.6139,Oph
BB Oph,,,,N:,11.3,19.0,HV 3985,261.1251,-24.8017,Oph
V2295 Oph,,,,NA,9.0,21.0,,261.2767,-23.1864,Oph
