hbc,name,hd,tyc,tic,vmag,sptype,ytype,ra_deg,dec_deg,constellation
1,MacC H12,,,359125339,16.23,"A5,F:e",,1.7611,+65.6440,Cas
324,MC 1,,,359125301,14.6,A5e,,1.8779,+65.6646,Cas
2,LkH@ 197,,,,15.3,"K7,M0",tt,2.6479,+58.8351,Cas
3,V633 Cas,,,452883179,14.29,"B,Ae   *",ae,2.8586,+58.8295,Cas
325,V376 Cas,,,452883156,15.6,B5e,ae,2.8590,+58.8343,Cas
326,MacC sH15,,,83518064,13.85,K1,tt,3.1266,+65.5515,Cas
4,MacC H10,,,83518024,14.72,K4,tt,3.2287,+65.5694,Cas
5,MacC H9,,,83732817,14.96,K4,tt,3.3717,+65.6001,Cas
327,MC 3,,,83974009,16.8,K5,tt,4.1978,+65.7610,Cas
328,MC 4,,,83973979,14.4,K4,tt,4.2282,+65.7816,Cas
329,VX Cas,,4019-1525-1,428476066,11.03,"A0,3e V",*,7.8773,+61.9807,Cas
6,LkH@ 200,,,,13.7,K1,tt,10.6225,+61.9297,Cas
330,V594 Cas,,4020-1322-1,420018149,10.61,B:eq  *,ae,10.8262,+61.9112,Cas
7,LkH@ 201,,,,13.7,B3e,*,10.8559,+61.6398,Cas
331,LkH@ 203,,,,15.0,K5,tt,11.1142,+62.1796,Cas
332,LkH@ 204,,,,15.8,"K7,M0",tt,11.2915,+62.0741,Cas
333,LkH@ 205,,,,14.3,cont,,11.3597,+61.6482,Cas
334,RNO 6,,,,14.52,B1e@,a?,34.1259,+55.3824,Per
8,LkH@ 262,,,,14.56,M0,tt,44.0331,+20.0567,Ari
9,LkH@ 263,,,,14.64,M2,tt,44.0348,+20.0606,Ari
10,LkH@ 264,,,,12.46,K5 V(Li),tt,44.1562,+20.0936,Ari
335,St 18,,,,13.5,early M,,45.5863,+17.1763,Ari
336,>,,,,14.0,*,,49.3597,+60.1623,Cam
337,RNO 13,,,138114753,19.5,K7,tt,51.2888,+30.7727,Ari
338,LZK 4,,2341-434-1,138115594,12.1,G8   *,tt,51.4574,+31.1735,Per
339,RNO 15,,,349294307,19.6,?,tt,51.9483,+30.2016,Ari
340,>,,,,17.7,K7,,52.1802,+31.2925,Per
341,>,,,,18.6,M4.5,tt,52.1814,+31.2935,Per
342,>,,,,18.7,K7,,52.2135,+31.0337,Ari
343,>,,,,14.8,M0.5,,52.2139,+30.5169,Ari
11,LkH@ 325,,,,13.43,"K7,M0",tt,52.2172,+30.7513,Ari
344,SSV 11,,,,,M1,,52.2358,+31.3098,Per
345,HH 12/107,,,,17.8,M0:,,52.2420,+31.3014,Per
346,SSV 13,,,,23.8,K?  *,,52.2654,+31.2677,Per
12,LkH@ 270,,,,14.25,"K7,M0",tt,52.3232,+31.3794,Per
13,LkH@ 271,,,,14.7,K3,tt,52.3410,+31.2603,Per
347,>,,,,12.05,K1 (Li),wt,52.4090,+24.5112,Tau
14,LkH@ 326,,,,16.0,M0,tt,52.6831,+30.5463,Tau
15,LkH@ 327,,,,15.0,K2,tt,53.3776,+31.1817,Per
16,LkH@ 328,,,,16.8,M1,tt,53.5073,+31.2434,Per
348,IP Per,278937,2359-1011-1,101166418,10.35,A3e@,?,55.1957,+32.5316,Per
17,LH@ 92,,,,,K:,,56.1084,+32.0755,Per
18,LH@ 97,,,,,,,56.1862,+32.0677,Per
19,LkH@ 329,,,,14.9,K3,tt,56.4037,+32.4329,Per
20,LkH@ 330,,,,10.97,G3:  *,tt,56.4510,+32.4036,Per
21,LkH@ 272,,,,14.05,K6,tt,57.2710,+38.9383,Per
22,LkH@ 273,,,,15.27,"K7,M0",tt,57.3154,+38.9440,Per
349,XY Per e,,,,9.36,A5:e@,ae,57.4007,+38.9819,Per
350,XY Per w,,,,,Aep+shell,ae,57.4007,+38.9819,Per
351,>,,,,12.26,K5 (Li),wt,58.0095,+24.6643,Tau
352,>,,,,11.85,G0 (Li?),,58.6225,+32.0504,Per
353,>,,,,12.31,G5 (Li),wt,58.6250,+32.0516,Per
354,>,,,,13.79,K3 (Li?),,58.6484,+25.6200,Tau
355,>,,,,12.67,K0 (Li),wt,58.6496,+25.6192,Tau
356,>,,,,12.91,,,60.8085,+25.8832,Tau
357,>,,,,12.91,K2 (Li)*,wt,60.8085,+25.8832,Tau
358,>,,,,14.52,M2 (Li),wt,60.9549,+26.1818,Tau
359,>,,,,14.17,M2 (Li),wt,60.9620,+26.1820,Tau
360,>,,,,14.97,M3 (Li),wt,61.1637,+21.9722,Tau
