name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
T And,1795,1734-1431-1,437756809,7.7,281.0,M4e-M7.5e,5.5965,+26.9961,And
U And,7482,,186401829,9.0,347.7,M6e,18.8737,+40.7190,And
V And,4779,,53677871,9.0,256.4,M2e-M3e,12.5262,+35.6528,And
W And,14028,2842-951-1,292938814,6.7,397.3,"S6,1e-S9,2e",34.3873,+44.3049,And
X And,1167,,440066566,8.5,343.4,"S2,9e-S5,5e",4.0397,+47.0126,And
Y And,10112,2814-255-1,189626411,8.2,220.5,M3e-M4.5e,24.9038,+39.3430,And
RR And,4895,,53700749,8.4,330.6,"S6.5,2e",12.8472,+34.3769,And
RW And,4489,2280-81-1,267942318,7.9,430.0,"M5e-M10e(S6,2e)",11.8288,+32.6858,And
SV And,225192,2785-1315-1,194204295,7.7,313.0,M5e-M7e,1.0836,+40.1099,And
SX And,,3278-1233-1,327010620,8.7,332.8,M6.5e,23.3997,+46.5204,And
SZ And,,,154929395,9.5,344.0,M2e,344.8937,+42.8420,And
TU And,2890,1734-310-1,440674692,7.5,316.8,M5e,8.0947,+26.0294,And
UW And,,,437746125,9.4,237.0,M5,3.5454,+29.0224,And
UZ And,7540,,186447725,9.1,316.0,M7e,19.0465,+41.7495,And
YZ And,,,44453319,9.7,207.0,M5e,6.8093,+30.8969,And
AH And,,,184589724,9.3,480.2,M4-M5e,31.4775,+40.7241,And
AX And,,3295-1321-1,203088591,9.3,378.0,,38.1921,+46.4891,And
BG And,,3243-267-1,240632364,8.5,289.5,"S6.5,5e",352.7476,+43.2654,And
BU And,,3234-546-1,346478828,9.4,378.0,M7e,350.9162,+39.7269,And
KU And,,,439961782,6.5,660.0,M10,1.7199,+43.0835,And
LP And,,,176673337,1.8,614.0,"C8,3.5e",353.6147,+43.5503,And
V0588 And,,,,9.44,265.5,M4,345.6381,+46.8301,And
V Ant,,7192-604-1,71487819,8.2,303.0,M7IIIe,155.2880,-34.7886,Ant
X Ant,,7170-2042-1,70713568,8.8,164.1,M2-M6e,151.6760,-30.0772,Ant
T Aps,,9430-1386-1,395746133,8.4,259.63,M3e,208.9633,-77.8023,Aps
SV Aps,,9265-1665-1,402085911,9.0,303.5,,219.6831,-72.5276,Aps
VZ Aps,,9285-1236-1,426489650,8.1,370.4,M5e,244.0606,-74.0404,Aps
WW Aps,,9286-1278-1,309546745,8.6,267.9,M4(Ib)e,247.8798,-74.9956,Aps
DS Aps,,,301850419,8.7,273.0,Me,259.6659,-71.2771,Aps
MS Aps,,,311391522,9.53,348.1,,258.6051,-76.5568,Aps
MW Aps,,,403448615,9.6,392.1,Me,230.4657,-74.5639,Aps
MZ Aps,,,311170403,9.7,391.7,,257.5387,-72.4608,Aps
S Aqr,216907,6400-60-1,137805888,7.6,279.3,M4e-M6e,344.2770,-20.3432,Aqr
T Aqr,198373,5186-231-1,248315067,7.0,201.1,M2e-M5.5e,312.4850,-5.1467,Aqr
