name,z,vmag,band,ra_deg,dec_deg,constellation
PHL 2525,0.2,15.49,V,0.1017,-12.7633,Cet
PKS 0002-478,0.88,15.88,R,1.1487,-47.6050,Phe
RXS J00066+4342,0.166,14.62,V,1.6525,+43.7081,And
4C 25.01,0.284,15.9,O,4.9158,+26.0478,And
A 0021+25,0.067,15.06,V,6.0392,+25.4189,And
Q 0022-2044,0.17,15.6,V,6.2850,-20.4597,Cet
RXS J00281+3103,0.5,15.22,V,7.0446,+31.0628,And
PG 0026+12,0.145,15.41,V,7.3075,+13.2681,Psc
PKS 0027+056,1.317,15.92,V,7.4412,+5.9111,Psc
NPM1G-13.0021,0.076,14.56,V,7.6675,-13.3581,Cet
SNU J00326-0910,0.092,15.28,V,8.1525,-9.1736,Cet
RXS J00340-3354,0.118,15.04,V,8.5067,-33.9061,Scl
IRAS 00333-8156,0.127,15.2,O,8.6925,-81.6664,Hyi
HE 0035-2521,0.542,15.9,*,9.5350,-25.0869,Scl
PKS 0038-512,0.608,15.8,O,10.1587,-50.9656,Phe
2MASS J00413+2816,0.194,15.9,V,10.3279,+28.2778,And
NPM1G-22.0017,0.063,13.24,V,10.3837,-22.6439,Cet
RXS J00434-1655,0.331,15.6,O,10.8533,-16.9328,Cet
Q 0043-2923,0.9,14.9,O,11.4504,-29.1158,Scl
RXS J00508+3536,0.058,14.6,V,12.7112,+35.6119,And
NPM1G-15.0040,0.091,14.65,V,12.8233,-14.7975,Cet
I Zw   1,0.061,14.03,V,13.3954,+12.6933,Psc
RXS J00537+2232,0.148,15.8,V,13.4425,+22.5394,And
PG 0052+251,0.155,15.43,V,13.7175,+25.4275,Psc
RXS J00561+2548,0.15,14.9,V,14.0325,+25.8006,Psc
RXS J00569-7513,0.074,15.04,V,14.2296,-75.2311,Tuc
TON S180,0.062,14.41,V,14.3342,-22.3822,Cet
Q 0056-363,0.165,15.2,*,14.6558,-36.1014,Scl
PKS 0101-649,0.163,14.92,R,15.8904,-64.6519,Tuc
RXS J01105-1648,0.78,15.6,V,17.6462,-16.8083,Cet
RXS J01149-4224,0.124,15.0,O,18.7408,-42.4133,Phe
RXS J01177+3637,0.106,15.67,V,19.4404,+36.6208,And
RXS J01199-2010,0.81,15.76,V,19.9833,-20.1731,Cet
PG 0117+213,1.5,15.8,O,20.0721,+21.5631,Psc
TON S210,0.117,15.19,V,20.4650,-28.3492,Scl
F   9,0.046,13.83,V,20.9408,-58.8058,Tuc
NPM1G-12.0057,0.068,14.93,V,21.2012,-11.9692,Cet
RXS J01278-2650,0.109,14.92,V,21.9592,-26.8447,Scl
HE 0126-3045,0.475,15.9,O,22.1033,-30.4950,Scl
IRAS 01267-2157,0.093,14.52,*,22.2946,-21.6992,Cet
Q 0128-2150,1.9,15.57,V,22.7729,-21.5794,Cet
NGC  612,0.03,13.2,V,23.4908,-36.4933,Scl
RXS J01353-2923,0.699,15.7,O,23.8342,-29.3992,Scl
MS 01360-5614,0.086,15.5,V,24.4771,-55.9878,Eri
RXS J01483-2758,0.121,15.54,V,27.0925,-27.9731,For
IRAS 01475+3554,0.08,15.3,V,27.6363,+36.1572,And
PHL 3953,0.151,15.11,V,28.6675,-27.1167,For
RXS J01550-0508,0.129,15.1,V,28.7621,-5.1428,Cet
HE 0153-4520,0.451,15.2,O,28.8050,-45.1033,Phe
87GB 01540+4105,0.081,13.8,V,29.2708,+41.3417,And
MARK 1014,0.163,15.87,V,29.9592,+0.3947,Cet
RXS J02006-1649,0.201,15.8,O,30.1554,-16.8189,Cet
KISSR 2166,0.352,15.67,V,30.7742,-3.8403,Cet
RX J02040+4005,0.072,12.13,R,31.0217,+40.0842,And
MARK  586,0.155,15.41,V,31.9575,+2.7153,Cet
HE 0210-2809,0.608,15.7,O,33.1333,-27.9178,For
2MASS J02156-1510,0.211,15.73,O,33.9100,-15.1700,Cet
SWIRE J02169-0324,0.137,15.48,V,34.2408,-3.4164,Cet
PKS 0219-164,0.698,15.0,V,35.5033,-16.2547,Cet
RXS J02282-4057,0.494,14.3,O,37.0633,-40.9544,Eri
Q 0226-1024,2.276,15.16,R,37.1633,-10.1861,Cet
RXS J02345-5203,0.137,14.79,V,38.6429,-52.0653,Hor
AO 0235+164,0.94,15.5,V,39.6621,+16.6167,Ari
RXS J02393-0001,0.261,15.48,V,39.8454,-0.0222,Cet
HE 0238-1904,0.631,15.0,O,40.1358,-18.8642,Cet
4U 0241+61,0.044,12.19,V,41.2400,+62.4683,Cas
NVSS J02454-1107,0.099,15.4,R,41.3537,-11.1211,Eri
HE 0246-4101,0.883,14.7,O,42.0258,-40.8097,Eri
Q J02499-5503,0.23,15.4,V,42.4942,-55.0556,Hor
RXS J02541-4137,0.146,14.76,V,43.5292,-41.6253,Eri
HE 0306-3301,0.247,15.8,O,47.0979,-32.8358,For
ESO 199-IG23,0.078,15.1,V,48.1287,-51.3447,Hor
CT 638,0.266,15.1,*,49.5271,-34.4436,For
XMM J03189-4416,0.14,15.9,V,49.7475,-44.2739,Eri
G 03158+4227 G2,0.134,15.79,V,49.8017,+42.6453,Per
