css,names,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
3,"310(Ma), -63:1, Henun 1, S 3",310,8840-1709-1,355738164,8.0,"S3,1(Henun)",1.9071,-62.3264,Tuc
12,"4350(Md), +47:194, U Cas, S 11",4350,,240775517,8.0,S5/3e(KB),11.5892,+48.2450,Cas
14,"4489(Md), RW And, Ste(M8h!),S 13",4489,2280-81-1,267942318,7.9,S6/2e(KB),11.8287,+32.6886,And
17,"4895(Md), Vys 8(S5e),RR And,S 15",4895,,53700749,8.4,S6/3e(KB),12.8479,+34.3775,And
20,"5840(Mb), Ste(MS), V365 Cas,S 17",5840,3676-1346-1,312854670,8.0,S6/3(KB),15.2212,+56.6128,Cas
22,Ste,6409,1199-679-1,243170364,7.8,M2wkS(Ste),16.3008,+19.1975,Psc
26,"7351(Ma), +27:196, HR 363, S 20",7351,1753-2053-1,16881755,6.6,S3/2(KB),18.5183,+28.5300,Psc
28,"7769(Pec), +71:66, S Cas, S 21",7769,,468717173,7.9,"S4,6e(K)",19.9254,+72.6114,Cas
36,"RZ Per, Ste(S!rr), S 27",,3277-1001-1,308215509,8.7,S6/8e(KB),22.4275,+50.8567,Per
45,"+21:255, Dol 70b, BidK, S 33",,1212-468-1,91357052,8.6,S3/1(KB),28.5825,+21.8897,Ari
46,"+54:471, MSB, S 34",,3685-131-1,250452470,9.0,S6/1(KB),30.3612,+52.5511,Per
49,"14028(Md), +43:461a, W And, S 36",14028,2842-951-1,292938814,6.7,S7/1e(KB),34.3875,+44.3056,And
52,"+31:392, Vys 9, SU Tri, S 39",,2310-1472-1,402373399,9.0,S4/1(KB),34.5433,+31.7478,Tri
57,"Vys 15(S4), BI And, S 43",,2831-1262-1,129914176,9.7,S8/4 var(KB),36.4762,+38.1231,And
79,"22649(Ma), +62:597,HR 1105, S 60",22649,4066-1732-1,392486056,5.1,S4/2(KB),55.5392,+63.2236,Cam
81,"Ste, Nass54(M2r), S 61",,3717-706-1,428688015,10.0,MSwk,56.7783,+53.0650,Cam
82,"MSB 5, WX Cam, Ste(S!), S 62",,3717-478-1,428807627,10.0,S5/6(KB),57.2662,+53.1842,Cam
87,"+24:620, Vys, Ste(Swk)",283350,1818-1043-1,348869833,9.7,S3/3(KB),61.5187,+24.7125,Tau
89,Ste,26816,1815-198-1,56653225,8.2,,63.8496,+24.0700,Tau
94,"-2:891, Vys, Ste(M1wkS), S 69",,4730-446-1,248615595,9.3,S2/2(KB),66.0908,-2.5325,Eri
102,"+12:611,  D 808(S?), S 74",286892,677-672-1,245871161,10.0,S6/1(KB),68.9208,+12.6567,Tau
103,"29147(Pec),+65:422a, T Cam, S 75",29147,4090-1730-1,281274850,7.3,S6/5e(KB),70.0367,+66.1467,Cam
104,"29704(Mb), Henun 3, S 76",29704,7039-683-1,170803464,8.5,S:(Henun),69.8483,-30.4536,Eri
109,Ste,,,423482022,9.3,,71.2842,-23.8533,Eri
110,"Ste, S 81",,,187202523,9.9,Swk(Ste),72.5367,+37.2444,Aur
114,"30959(Ma), K(M3S), CSV 448, S 84",30959,696-1788-1,436667049,5.2,S3/1 = M3S(KB),73.1312,+14.2514,Ori
118,"+42:1159, Ste(Swk), S 88",277477,2903-1690-1,261144436,9.3,S2/2(KB),76.3029,+42.3122,Aur
131,"Vys 3(S4), RZ Lep, S 96",34738,5914-89-1,408191749,8.3,S4/4(KB),79.6917,-22.2108,Lep
133,"35155(Pec), Ste(S), S 98",35155,5332-1598-1,24603068,7.0,"S4,1(K)",80.5767,-8.6678,Ori
137,"Ste, S 100",,,429129069,10.0,,81.3829,+28.1878,Tau
149,"37536(Ma), +31:1049, Ste, S 110",37536,2408-1775-1,116342134,6.7,M2S(Ste),85.1746,+31.9214,Aur
152,Ste,233158,3372-809-1,311223968,9.3,,85.7396,+52.2181,Aur
156,"+5:1000, BidMac, S 113",246818,123-572-1,199918142,9.6,,85.7800,+5.0975,Ori
168,Z Tau,,,247922816,9.2,"S7.5,1e(K66)",88.1046,+15.7953,Tau
174,"40101(Mb), -28:2562",40101,6503-1173-1,33104115,7.8,S(Catchp),88.8975,-28.9511,Col
175,"Ste, S 123",,,353302279,9.9,S!(Ste),89.8512,+35.1339,Aur
176,"-10:1334, BidMac, Ste, S 124",,5352-921-1,67264105,9.0,Sr(Ste),89.7792,-10.8733,Mon
178,"40706(K0), Henun 7, S 125",40706,7598-1510-1,20145155,9.0,"S2,1(Henun)",89.6946,-38.0761,Col
184,MacCon79,,,11900774,10.0,S5*3(MacCon79),90.9921,-3.9686,Ori
197,42537(Ma),42537,8521-145-1,219194395,8.6,S(Houk),92.0796,-52.5342,Pic
204,"-60:1381, Henun 9, S 142",,8893-1536-1,150145592,10.0,"S3,3(Henun)",93.0546,-60.9617,Pic
207,MacCon82,,136-782-1,265355110,9.6,S4*4(MacCon82),94.3037,+1.9803,Ori
219,"+15:1200, Vys, S 149",,1328-815-1,438308601,9.9,S4/2(KB),96.7692,+15.8936,Gem
224,MacCon82,,5960-2520-1,47773094,10.0,S5*3(MacCon82),98.0296,-20.8264,CMa
233,"+2:1307, MacCon79(S3*2)",288833,150-1861-1,281247200,9.2,S3/2(KB),99.0500,+1.9569,Mon
