num,name,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
001,SMC1,,,,16.2,"C3.2:,C",7.2954,-74.9608,Hyi
002,SMC2,,,394211607,16.2,"K,G-K",10.7004,-74.7000,Hyi
003,EG And,4174,2801-1704-1,115780639,7.1,M3,11.1546,+40.6794,And
004,SMC3,,,,15.5,"M0,K-M",12.0829,-73.5319,Tuc
005,SMC N60,,,,16.8,C3.3,14.3000,-74.2167,Tuc
006,LIN 358,,,182074566,15.2,mid K,14.8500,-75.0833,Tuc
007,SMC N73,,,,15.5,K7,16.1750,-75.8000,Hyi
008,AX Per,,3671-247-1,453231036,10.9,M6,24.0946,+54.2507,Per
009,V471 Per,,,241112109,13.0,G5,29.7067,+52.8969,Per
010,o Ceti,,,,6.0,"Mira,M2-7",34.8362,-2.9776,Cet
011,BD Cam,22649,4066-1732-1,392486056,5.1,"M3,S5.3",55.5388,+63.2168,Cam
012,S32,,,,13.5,C1.1CH,69.4375,-1.3183,Eri
013,LMC S154,,,,15.7,C2.2,72.9592,-75.0600,Men
014,LMC S147,,,,16.0,"M1,K5",73.5192,-70.9928,Men
015,LMC N19,,,,16.4,M4,75.8500,-67.9431,Dor
016,UV Aur,34842A,2394-373-1,2688613,8.5,Mira C8.1Je,80.4533,+32.5120,Aur
017,V1261 Ori,35155,5332-1598-1,24603068,6.8,"S4.1,M3",80.5775,-8.6661,Ori
018,LMC1,,,149156064,15.9,"C4.3,C",81.2542,-62.4797,Dor
019,LMC N67,,,,15.9,"C3.2,C",84.0117,-64.7233,Dor
020,Sanduleak's star,,,389501676,16.9,,86.3317,-71.2694,Men
021,LMC S63,,,,15.2,C2.1J,87.1837,-67.6036,Dor
022,SMP LMC 94,,,141547612,,M,88.5429,-73.0442,Men
023,BX Mon,,4821-2893-1,64333488,11.7,M5,111.3500,-3.6000,Mon
024,V694 Mon,,5396-1135-1,403675153,9.5,M6,111.4633,-7.7356,Mon
025,WRAY 15-157,,,154230723,13.2,G5,121.6450,-28.5325,Pup
026,RX Pup,69190,7668-2915-1,182401518,11.5,Mira M5.5/M5,123.5512,-41.7081,Pup
027,Hen 3-160,,,139977336,15.4,M7,126.2200,-51.4767,Vel
028,AS 201,,,,11.8,G5,127.9287,-27.7589,Pyx
029,KM Vel,,,362368622,15.0,"Mira,M",145.3083,-49.3797,Vel
030,V366 Car,,,469253499,13.0,Mira M6,148.6804,-57.3146,Car
031,Hen 3-461,,,303495210,12.3,M6,159.7854,-51.4033,Vel
032,SS73 29,,,,14.1,G/K,167.1142,-65.7883,Car
033,SY Mus,100336,8980-154-1,318377553,10.9,M5,173.0229,-65.4189,Mus
034,BI Cru,,8979-1266-1,311758230,11.1,Mira M0-1,185.8583,-62.6378,Cru
035,RT Cru,,,180045004,12.6,M4-5,188.7250,-64.5650,Cru
036,TX CVn,,2533-1168-1,389852937,9.5,"early M,K5.3",191.1750,+36.7641,CVn
037,Hen 2-87,,,460646001,15.5,M5.5/M7.5,191.3337,-63.0111,Cru
038,Hen 3-828,,,405915288,13.4,M6,192.7417,-57.8464,Cru
039,SS73 38,,,435418939,14.5,Mira C9,192.8592,-64.9995,Mus
040,Hen 3-863,,,244906894,11.8,K4:,196.9325,-48.0064,Cen
041,St 2-22,,,,,M4.5,198.6250,-58.8633,Cen
042,CD-36 8436,,7275-1500-1,30541762,11.2,M5.5,199.0067,-37.0033,Cen
043,V840 Cen,,,256813060,14.1,K5,200.1954,-55.8433,Cen
044,Hen 3-905,,,68406401,13.4,M3,202.6550,-57.9717,Cen
045,RW Hya,117970,6718-1146-1,58761688,8.9,M2,203.5742,-25.3811,Hya
046,Hen 3-916,,,317361730,12.9,M5/M6,203.8704,-64.7625,Mus
047,V704 Cen,,,208510568,13.5,M6.5,208.7342,-58.4547,Cen
048,V852 Cen,,,329892320,14.0,Mira,212.9671,-51.4399,Cen
049,V835 Cen,,,333861396,12.9,Mira>= M5,213.5392,-63.4295,Cen
050,V417 Cen,,,334771334,12.2,"G8-K2,G2",213.9829,-61.8983,Cen
051,BD-21 3873,,6151-1012-1,46022938,10.7,K2,214.1429,-21.7639,Vir
052,Hen 2-127,,,139816238,16.0,Mira M5/M7,231.2075,-51.8313,Lup
053,Hen 3-1092,,,426905701,13.5,M5.5,236.7942,-66.4878,TrA
054,Hen 3-1103,,,,13.0,M3.5/M0,237.1187,-44.3169,Lup
055,HD 330036,330036,,279627924,11.0,G5,237.8162,-48.7496,Nor
056,Hen 2-139,,,86565111,16.8,"Mira,M6.5",238.6892,-55.4936,Nor
057,T CrB,143454,2037-1144-1,462607643,10.1,M4.5,239.8754,+25.9202,CrB
058,AG Dra,,4195-254-1,237100139,9.1,K2,240.4187,+66.8026,Dra
059,WRAY 16-202,,,215200455,,M6,241.7367,-49.4442,Nor
060,V347 Nor,,,207551959,16.6,Mira M7/M8.5,243.5012,-56.9906,Nor
061,UKS Ce-1,,,49582371,15.0,C4.5Jch,243.8717,-22.2044,Sco
062,QS Nor,,,221655967,13.3,mid M,245.2829,-42.3983,Nor
063,WRAY 15-1470,,,392171429,12.9,"M3,M6",245.8400,-27.6703,Sco
064,Hen 2-171,,,212095797,14.8,"Mira M6.5,M6",248.5162,-35.0924,Sco
065,Hen 3-1213,,,26292371,10.4,M2/K4,248.8137,-51.7067,Ara
066,Hen 2-173,,,293204895,13.8,"M4.5,M7",249.1004,-39.8646,Sco
067,Hen 2-176,,,233000311,15.0,Mira,250.3800,-45.2180,Sco
068,KX TrA,,,447290900,12.4,M6,251.1467,-62.6206,TrA
069,AS 210,,,,12.2,Mira; C3,252.8350,-26.0075,Sco
070,HK Sco,,,34182969,13.5,M3.5,253.6625,-30.3917,Sco
071,CL Sco,,,34775634,13.3,M5,253.7162,-30.6217,Sco
072,MaC 1-3,,,,18.2,M2,255.3662,-47.7594,Ara
073,V455 Sco,,,42538591,13.7,"M6.5,M6",256.8396,-34.0892,Sco
074,Hen 3-1341,,,399680981,12.5,M4/M0,257.1525,-17.4417,Oph
075,Hen 3-1342,,,100654334,12.7,M0,257.2292,-23.3931,Oph
076,AS 221,,,,12.0,M7.5,258.0092,-32.5736,Sco
077,H 2-5,,,,,M5.5,258.8292,-31.5683,Sco
078,Sa 3-43,,,,,early M,259.4829,-30.0300,Oph
079,Draco C-1,,,,17.0,C1.2,259.9900,+57.8347,Dra
080,Th 3-7,,,,14.0,M5,260.2600,-29.3832,Oph
081,Th 3-17,,,,14.0,M3,261.8829,-29.0481,Oph
082,Th 3-18,,,,12.6,M3,262.1125,-28.6428,Oph
083,Hen 3-1410,,,188699871,12.8,"M1.5,M3",262.2750,-29.7234,Oph
084,V2116 Oph,,,193746936,19.0,M5/M6:,263.0125,-24.7456,Oph
085,Th 3-29,,,,17.0,M3,263.1167,-29.0850,Oph
086,Th 3-30,,,,13.1,M1,263.4292,-28.1217,Oph
087,Th 3-31,,,,13.6,M5,263.6104,-29.4681,Oph
088,M 1-21,,,,13.7,M6/M2,263.5717,-19.1561,Oph
089,Hen 2-251,,,198712875,15.4,late M,263.8429,-29.7556,Oph
