# Instrument response (observed / reference). Reference: a0v.dat. Method: raw obs/ref, Balmer-interpolated (±40 Å), tellurics preserved, off-telluric smooth FWHM=40 Å.
# wavelength_A  value
4002.3615  3.916647e+04
4010.0159  3.992544e+04
4017.6718  4.090926e+04
4025.3291  4.203990e+04
4032.9878  4.321651e+04
4040.6480  4.435866e+04
4048.3095  4.543307e+04
4055.9724  4.645075e+04
4063.6366  4.744294e+04
4071.3023  4.843653e+04
4078.9693  4.944333e+04
4086.6376  5.046300e+04
4094.3073  5.149083e+04
4101.9783  5.252329e+04
4109.6506  5.356066e+04
4117.3242  5.460957e+04
4124.9991  5.568738e+04
4132.6754  5.682661e+04
4140.3529  5.807316e+04
4148.0317  5.947122e+04
4155.7117  6.103478e+04
4163.3930  6.271978e+04
4171.0755  6.442117e+04
4178.7593  6.601073e+04
4186.4443  6.740323e+04
4194.1305  6.860915e+04
4201.8180  6.973140e+04
4209.5066  7.090149e+04
4217.1964  7.220001e+04
4224.8875  7.361940e+04
4232.5796  7.508764e+04
4240.2730  7.651733e+04
4247.9675  7.783843e+04
4255.6632  7.901118e+04
4263.3599  8.003990e+04
4271.0579  8.098729e+04
4278.7569  8.196212e+04
4286.4570  8.306846e+04
4294.1583  8.435008e+04
4301.8606  8.577779e+04
4309.5641  8.728577e+04
4317.2685  8.881749e+04
4324.9741  9.034556e+04
4332.6807  9.186486e+04
4340.3884  9.337870e+04
4348.0971  9.489093e+04
4355.8068  9.640465e+04
4363.5176  9.792360e+04
4371.2293  9.945373e+04
4378.9421  1.010035e+05
4386.6558  1.025825e+05
4394.3706  1.041985e+05
4402.0863  1.058540e+05
4409.8029  1.075418e+05
4417.5206  1.092425e+05
4425.2391  1.109281e+05
4432.9587  1.125767e+05
4440.6791  1.141918e+05
4448.4005  1.158063e+05
4456.1227  1.174557e+05
4463.8459  1.191353e+05
4471.5700  1.207863e+05
4479.2949  1.223361e+05
4487.0207  1.237668e+05
4494.7474  1.251518e+05
4502.4750  1.266232e+05
4510.2033  1.282903e+05
4517.9326  1.301778e+05
4525.6626  1.322264e+05
4533.3935  1.343451e+05
4541.1252  1.364607e+05
4548.8577  1.385370e+05
4556.5909  1.405704e+05
4564.3250  1.425701e+05
4572.0598  1.445254e+05
4579.7954  1.463874e+05
4587.5318  1.480959e+05
4595.2689  1.496354e+05
4603.0067  1.510603e+05
4610.7453  1.524574e+05
4618.4846  1.538815e+05
4626.2246  1.553272e+05
4633.9653  1.567583e+05
4641.7067  1.581596e+05
4649.4488  1.595552e+05
4657.1915  1.609748e+05
4664.9349  1.624071e+05
