# Instrument response (observed / reference). Reference: a0v.dat. Method: spline through 14 anchors.
# wavelength_A  value
4003.6697  2.033638e+04
4011.2624  2.097395e+04
4018.8567  2.162294e+04
4026.4526  2.228311e+04
4034.0500  2.295422e+04
4041.6490  2.363603e+04
4049.2495  2.432830e+04
4056.8515  2.503081e+04
4064.4550  2.574330e+04
4072.0600  2.646554e+04
4079.6666  2.719730e+04
4087.2746  2.793832e+04
4094.8841  2.868838e+04
4102.4951  2.944723e+04
4110.1075  3.021463e+04
4117.7214  3.099034e+04
4125.3368  3.177412e+04
4132.9536  3.256573e+04
4140.5718  3.336492e+04
4148.1915  3.417146e+04
4155.8126  3.498511e+04
4163.4351  3.580561e+04
4171.0590  3.663273e+04
4178.6843  3.746622e+04
4186.3109  3.830585e+04
4193.9390  3.915136e+04
4201.5684  4.000251e+04
4209.1993  4.085907e+04
4216.8314  4.172077e+04
4224.4649  4.258739e+04
4232.0998  4.345867e+04
4239.7360  4.433436e+04
4247.3735  4.521423e+04
4255.0123  4.609803e+04
4262.6524  4.698551e+04
4270.2939  4.787642e+04
4277.9366  4.877052e+04
4285.5806  4.966755e+04
4293.2259  5.056728e+04
4300.8725  5.146946e+04
4308.5204  5.237383e+04
4316.1694  5.328015e+04
4323.8198  5.418817e+04
4331.4713  5.509765e+04
4339.1242  5.600832e+04
4346.7782  5.691995e+04
4354.4334  5.783229e+04
4362.0899  5.874508e+04
4369.7475  5.965808e+04
4377.4064  6.057103e+04
4385.0664  6.148369e+04
4392.7276  6.239580e+04
4400.3900  6.330712e+04
4408.0535  6.421739e+04
4415.7182  6.512636e+04
4423.3840  6.603378e+04
4431.0510  6.693940e+04
4438.7191  6.784296e+04
4446.3883  6.874423e+04
4454.0586  6.964293e+04
4461.7300  7.053882e+04
4469.4026  7.143166e+04
4477.0762  7.232117e+04
4484.7509  7.320712e+04
4492.4266  7.408925e+04
4500.1035  7.496730e+04
4507.7814  7.584104e+04
4515.4603  7.671038e+04
4523.1403  7.757532e+04
4530.8213  7.843589e+04
4538.5034  7.929208e+04
4546.1864  8.014391e+04
4553.8705  8.099138e+04
4561.5556  8.183451e+04
4569.2417  8.267330e+04
4576.9287  8.350776e+04
4584.6168  8.433790e+04
4592.3058  8.516373e+04
4599.9958  8.598526e+04
4607.6867  8.680250e+04
4615.3786  8.761546e+04
4623.0714  8.842414e+04
4630.7651  8.922855e+04
4638.4598  9.002871e+04
4646.1554  9.082463e+04
4653.8519  9.161631e+04
4661.5493  9.240376e+04
4669.2476  9.318699e+04
4676.9467  9.396601e+04
4684.6468  9.474083e+04
4692.3477  9.551146e+04
4700.0495  9.627791e+04
4707.7521  9.704019e+04
4715.4556  9.779831e+04
4723.1599  9.855228e+04
4730.8650  9.930210e+04
4738.5710  1.000478e+05
4746.2778  1.007894e+05
4753.9854  1.015268e+05
4761.6937  1.022602e+05
4769.4029  1.029894e+05
4777.1129  1.037146e+05
4784.8236  1.044357e+05
4792.5351  1.051527e+05
4800.2473  1.058657e+05
4807.9603  1.065746e+05
4815.6741  1.072795e+05
4823.3886  1.079803e+05
4831.1038  1.086772e+05
4838.8197  1.093700e+05
4846.5363  1.100587e+05
4854.2537  1.107432e+05
4861.9717  1.114232e+05
4869.6904  1.120986e+05
4877.4098  1.127691e+05
4885.1299  1.134347e+05
4892.8506  1.140951e+05
4900.5720  1.147501e+05
4908.2941  1.153996e+05
4916.0168  1.160434e+05
4923.7401  1.166813e+05
4931.4640  1.173131e+05
4939.1886  1.179387e+05
4946.9137  1.185578e+05
4954.6395  1.191703e+05
4962.3659  1.197760e+05
4970.0928  1.203747e+05
4977.8203  1.209662e+05
4985.5484  1.215504e+05
4993.2771  1.221271e+05
5001.0063  1.226960e+05
5008.7360  1.232571e+05
5016.4663  1.238101e+05
5024.1971  1.243549e+05
5031.9285  1.248912e+05
5039.6603  1.254189e+05
5047.3927  1.259378e+05
5055.1255  1.264477e+05
5062.8589  1.269485e+05
5070.5927  1.274399e+05
5078.3270  1.279218e+05
5086.0618  1.283940e+05
5093.7970  1.288563e+05
5101.5327  1.293086e+05
5109.2688  1.297506e+05
5117.0054  1.301821e+05
5124.7424  1.306031e+05
5132.4798  1.310132e+05
5140.2176  1.314124e+05
5147.9558  1.318004e+05
5155.6945  1.321771e+05
5163.4335  1.325422e+05
5171.1729  1.328957e+05
5178.9126  1.332374e+05
5186.6528  1.335675e+05
5194.3932  1.338861e+05
5202.1341  1.341934e+05
5209.8752  1.344894e+05
5217.6167  1.347744e+05
5225.3586  1.350484e+05
5233.1007  1.353115e+05
5240.8432  1.355639e+05
5248.5859  1.358058e+05
5256.3290  1.360372e+05
5264.0723  1.362583e+05
5271.8159  1.364691e+05
5279.5598  1.366700e+05
5287.3040  1.368608e+05
5295.0484  1.370419e+05
5302.7930  1.372133e+05
5310.5379  1.373751e+05
5318.2830  1.375275e+05
5326.0284  1.376707e+05
5333.7739  1.378046e+05
5341.5197  1.379296e+05
5349.2656  1.380456e+05
